Material;Month;Consumption
A7B91500019666;201310;11542
A7B91500019666;201311;12192
A7B91500019666;201312;15213
A7B91500019666;201401;13893
A7B91500019666;201402;12190
A7B91500019666;201403;27405
A7B91500019666;201404;44808
A7B91500019666;201405;29995
A7B91500019666;201406;19223
A7B91500019666;201407;23438
A7B91500019666;201408;40604
A7B91500019666;201409;14935
A7B91500019666;201410;0
A7B91500019666;201411;16960
A7B91500019666;201412;21445
A7B91500019666;201501;8524
A7B91500019666;201502;12783
A7B91500019666;201503;17211
A7B91500019666;201504;16420
A7B91500019666;201505;19734
A7B91500019666;201506;14505
A7B91500019666;201507;35444
A7B91500019666;201508;36336
A7B91500019666;201509;42881
A7B91500019666;201510;22007
A7B91500019666;201511;23700
A7B91500019666;201512;15332
A7B91500019666;201601;24748
A7B91500019666;201602;39730
A7B91500019666;201605;37011
A7B91500019666;201606;22510
A7B91500019666;201607;17128
A7B91500019666;201608;18831
A7B91500019666;201609;20460
A7B91500019666;201610;22356
A7B91500019666;201611;23592
A7B91500019666;201612;6930
A7B91500019666;201701;23261
A7B91500019666;201702;15689
A7B91500019666;201703;33128
A7B91500019666;201704;22900
A7B91500019666;201705;33576
A7B91500019666;201706;39210
A7B91500019666;201707;24036
A7B91500019666;201708;36096
A7B91500019666;201709;34673
A7B91500019666;201710;17784
A7B91500019666;201711;37866
A7B91500019666;201712;33747
A7B91500019666;201801;21028
A7B91500019666;201802;30725
A7B91500019666;201803;26947
A7B91500019666;201804;31534
A7B91500019666;201805;48148
A7B91500019666;201806;57146
A7B91500019666;201807;34902
A7B91500019666;201808;54509
A7B91500019666;201809;43577
A7B91500019666;201810;42873
A7B91500019666;201811;24822
A7B91500019666;201812;28427
A7B91500019666;201901;51242
A7B91500019666;201902;36064
A7B91500019666;201903;31253
A7B91500019666;201904;44932
A7B91500019666;201905;34848
A7B91500019666;201906;33923
A7B91500019666;201907;42697
A7B91500019666;201908;46907
A7B91500019666;201909;51471
A7B91500019666;201910;49412
A7B91500019666;201911;42414
A7B91500019666;201912;29653
A7B91500019666;202001;40497
A7B91500019666;202002;44359
A7B91500019666;202003;37071
A7B91500019666;202004;32217
A7B91500019666;202005;112184
A7B91500019666;202006;39762
A7B91500019666;202007;36994
A7B91500019666;202008;38244
A7B91500019666;202009;32927
A7B91500019666;202010;38748
A7B91500019666;202011;35577
A7B91500019666;202012;44988
A7B91500019666;202101;46231
A7B91500019666;202102;44550
A7B91500019666;202103;33410
A7B91500019666;202104;29198
A7B91500019666;202105;35898
A7B91500019666;202106;39489
A7B91500019666;202107;45504
A7B91500019666;202108;27505
A7B91500019666;202109;32146
A7B91500019666;202110;36800
A7B91500019666;202111;22995
A7B91500019666;202112;43795
A7B91500019666;202201;25079
A7B91500019666;202202;49357
A7B91500019666;202203;37397
A7B91500019666;202204;57746
A7B91500019666;202205;106237
A7B91500019666;202206;27415
A7B91500019666;202207;33336
A7B91500019666;202208;41746
A7B91500019666;202209;46655
A7B91500019666;202210;38273
A7B91500019666;202211;37057
A7B91500019666;202212;57532
A7B91500019666;202301;39676
A7B91500019666;202302;35805
A7B91500019666;202303;66327
A7B91500019666;202304;53814
A7B91500019666;202305;43821
A7B91500019666;202306;56810
